Date,Product,Sales,Price
2023-06-20,Elden Ring,1,59.99
2023-03-15,Spider-Man 2,1,69.99
2023-06-13,God of War Ragnarok,1,69.99
2023-02-14,Xbox Series X,2,499.99
2023-02-21,Hogwarts Legacy,1,69.99
2023-08-25,Minecraft,1,29.99
2023-09-13,Headset Gaming,1,49.99
2023-07-05,God of War Ragnarok,1,69.99
2023-10-28,PlayStation 5,1,499.99
2023-03-31,Headset Gaming,1,49.99
2023-01-11,Spider-Man 2,1,69.99
2023-09-17,FIFA 24,1,59.99
2023-07-23,Minecraft,1,29.99
2023-07-24,God of War Ragnarok,2,69.99
2023-03-23,Hogwarts Legacy,2,69.99
2023-09-09,FIFA 24,2,59.99
2023-08-19,Tarjeta Regalo $20,1,20.0
2023-05-31,Controlador DualSense,1,69.99
2023-07-31,Hogwarts Legacy,2,69.99
2023-03-12,Minecraft,1,29.99
2023-04-10,The Legend of Zelda: TOTK,1,69.99
2023-05-24,Controlador DualSense,1,69.99
2023-09-13,Xbox Series X,1,499.99
2023-04-19,Hogwarts Legacy,1,69.99
2023-03-02,Minecraft,1,29.99
2023-01-19,The Legend of Zelda: TOTK,1,69.99
2023-11-25,Mario Kart 8 Deluxe,2,59.99
2023-01-24,Hogwarts Legacy,1,69.99
2023-07-08,Nintendo Switch OLED,1,349.99
2023-07-21,Elden Ring,3,59.99
2023-07-16,Elden Ring,3,59.99
2023-01-01,Xbox Series X,1,499.99
2023-08-24,Hogwarts Legacy,1,69.99
2023-10-17,Hogwarts Legacy,1,69.99
2023-07-05,Elden Ring,3,59.99
2023-08-18,PlayStation 5,1,499.99
2023-10-18,Headset Gaming,1,49.99
2023-02-13,The Legend of Zelda: TOTK,2,69.99
2023-07-04,FIFA 24,1,59.99
2023-09-24,Headset Gaming,1,49.99
2023-10-02,Nintendo Switch OLED,1,349.99
2023-01-24,Tarjeta Regalo $20,1,20.0
2023-09-26,The Legend of Zelda: TOTK,1,69.99
2023-11-28,PlayStation 5,2,499.99
2023-09-28,Elden Ring,2,59.99
2023-11-17,Tarjeta Regalo $20,1,20.0
2023-02-10,Spider-Man 2,1,69.99
2023-12-05,The Legend of Zelda: TOTK,1,69.99
2023-08-05,God of War Ragnarok,1,69.99
2023-07-04,The Legend of Zelda: TOTK,1,69.99
2023-01-21,The Legend of Zelda: TOTK,3,69.99
2023-10-21,PlayStation 5,1,499.99
2023-10-29,The Legend of Zelda: TOTK,1,69.99
2023-02-17,Hogwarts Legacy,1,69.99
2023-05-31,Controlador DualSense,1,69.99
2023-06-12,FIFA 24,1,59.99
2023-10-30,Headset Gaming,1,49.99
2023-03-24,Elden Ring,4,59.99
2023-06-23,Nintendo Switch OLED,2,349.99
2023-03-11,Controlador DualSense,5,69.99
2023-11-15,FIFA 24,1,59.99
2023-02-14,FIFA 24,2,59.99
2023-05-18,Tarjeta Regalo $20,2,20.0
2023-01-29,Mario Kart 8 Deluxe,2,59.99
2023-12-26,FIFA 24,2,59.99
2023-08-28,Tarjeta Regalo $20,1,20.0
2023-06-06,The Legend of Zelda: TOTK,1,69.99
2023-04-24,Elden Ring,1,59.99
2023-01-02,FIFA 24,1,59.99
2023-04-01,Spider-Man 2,1,69.99
2023-07-12,Elden Ring,4,59.99
2023-10-29,Tarjeta Regalo $20,1,20.0
2023-08-17,Xbox Series X,2,499.99
2023-10-23,Mario Kart 8 Deluxe,1,59.99
2023-09-15,Xbox Series X,2,499.99
2023-05-15,Tarjeta Regalo $20,1,20.0
2023-08-07,Elden Ring,1,59.99
2023-01-18,Mario Kart 8 Deluxe,1,59.99
2023-09-02,Headset Gaming,1,49.99
2023-07-11,Headset Gaming,1,49.99
2023-05-11,Xbox Series X,1,499.99
2023-08-08,Elden Ring,1,59.99
2023-03-23,Hogwarts Legacy,2,69.99
2023-07-04,Minecraft,1,29.99
2023-09-01,PlayStation 5,1,499.99
2023-07-19,God of War Ragnarok,2,69.99
2023-03-19,Xbox Series X,1,499.99
2023-11-14,Headset Gaming,1,49.99
2023-01-15,Xbox Series X,1,499.99
2023-07-30,FIFA 24,3,59.99
2023-03-29,Elden Ring,2,59.99
2023-04-28,Mario Kart 8 Deluxe,1,59.99
2023-07-16,God of War Ragnarok,2,69.99
2023-05-04,Nintendo Switch OLED,2,349.99
2023-02-18,Spider-Man 2,1,69.99
2023-06-18,Tarjeta Regalo $20,5,20.0
2023-08-17,FIFA 24,1,59.99
2023-05-18,God of War Ragnarok,1,69.99
2023-07-03,Headset Gaming,1,49.99
2023-05-31,Nintendo Switch OLED,1,349.99
2023-02-04,God of War Ragnarok,5,69.99
2023-04-20,God of War Ragnarok,1,69.99
2023-01-08,God of War Ragnarok,2,69.99
2023-10-13,Controlador DualSense,2,69.99
2023-12-12,Xbox Series X,1,499.99
2023-06-02,Hogwarts Legacy,1,69.99
2023-04-02,The Legend of Zelda: TOTK,1,69.99
2023-04-13,The Legend of Zelda: TOTK,1,69.99
2023-05-06,Minecraft,1,29.99
2023-01-08,Tarjeta Regalo $20,1,20.0
2023-08-09,Controlador DualSense,2,69.99
2023-10-13,The Legend of Zelda: TOTK,1,69.99
2023-07-12,Tarjeta Regalo $20,2,20.0
2023-05-23,PlayStation 5,1,499.99
2023-09-16,Spider-Man 2,1,69.99
2023-03-01,God of War Ragnarok,1,69.99
2023-05-21,Controlador DualSense,2,69.99
2023-09-02,Nintendo Switch OLED,2,349.99
2023-06-02,Tarjeta Regalo $20,1,20.0
2023-04-22,Nintendo Switch OLED,2,349.99
2023-01-02,Nintendo Switch OLED,1,349.99
2023-11-17,Controlador DualSense,1,69.99
2023-05-05,Tarjeta Regalo $20,1,20.0
2023-05-27,Mario Kart 8 Deluxe,1,59.99
2023-01-07,Mario Kart 8 Deluxe,2,59.99
2023-02-25,Nintendo Switch OLED,5,349.99
2023-06-03,FIFA 24,1,59.99
2023-06-26,Mario Kart 8 Deluxe,1,59.99
2023-01-08,The Legend of Zelda: TOTK,2,69.99
2023-10-13,The Legend of Zelda: TOTK,2,69.99
2023-08-09,Hogwarts Legacy,1,69.99
2023-04-20,FIFA 24,1,59.99
2023-10-04,Controlador DualSense,3,69.99
2023-05-21,FIFA 24,1,59.99
2023-12-14,Spider-Man 2,2,69.99
2023-10-24,The Legend of Zelda: TOTK,2,69.99
2023-08-16,Headset Gaming,1,49.99
2023-02-02,Xbox Series X,1,499.99
2023-07-12,Controlador DualSense,1,69.99
2023-05-04,Elden Ring,2,59.99
2023-07-06,God of War Ragnarok,1,69.99
2023-05-05,Nintendo Switch OLED,2,349.99
2023-10-19,FIFA 24,1,59.99
2023-09-25,Xbox Series X,1,499.99
2023-05-28,Nintendo Switch OLED,2,349.99
2023-07-14,Mario Kart 8 Deluxe,2,59.99
2023-04-22,Xbox Series X,2,499.99
2023-01-30,PlayStation 5,2,499.99
2023-11-08,Elden Ring,2,59.99
2023-06-14,Controlador DualSense,1,69.99
